,timestamp,count,provider
6547,1580977851.0,0,azure
6548,1583208523.0,0,azure
6549,1583209423.0,1,azure
6550,1583210323.0,0,azure
6551,1583211223.0,1,azure
6552,1583212123.0,0,azure
6553,1583213023.0,1,azure
6554,1583213923.0,1,azure
6555,1583214823.0,0,azure
6556,1583215723.0,0,azure
6557,1583216623.0,0,azure
6558,1583217523.0,0,azure
6559,1583218423.0,0,azure
6560,1583219323.0,0,azure
6561,1583220223.0,0,azure
6562,1583221123.0,0,azure
6563,1583222023.0,0,azure
6564,1583222923.0,0,azure
6565,1583223823.0,0,azure
6566,1583224723.0,1,azure
6567,1583225623.0,0,azure
6568,1583226523.0,1,azure
6569,1583227423.0,0,azure
6570,1583228323.0,0,azure
6571,1583229223.0,1,azure
6572,1583230123.0,0,azure
6573,1583231023.0,0,azure
6574,1583231923.0,0,azure
6575,1583232823.0,0,azure
6576,1583233723.0,0,azure
6577,1583234623.0,0,azure
6578,1583235523.0,0,azure
6579,1583236423.0,0,azure
6580,1583237323.0,0,azure
6581,1583238223.0,1,azure
6582,1583239123.0,0,azure
6583,1583240023.0,2,azure
6584,1583240923.0,0,azure
6585,1583241823.0,1,azure
6586,1583242723.0,2,azure
6587,1583243623.0,0,azure
6588,1583244523.0,0,azure
6589,1583245423.0,1,azure
6590,1583246323.0,6,azure
6591,1583247223.0,2,azure
6592,1583248123.0,4,azure
6593,1583249023.0,19,azure
6594,1583249923.0,43,azure
6595,1583250823.0,75,azure
6596,1583251723.0,48,azure
6597,1583252623.0,56,azure
6598,1583253523.0,69,azure
6599,1583254423.0,36,azure
6600,1583255323.0,26,azure
6601,1583256223.0,21,azure
6602,1583257123.0,11,azure
6603,1583258023.0,22,azure
6604,1583258923.0,11,azure
6605,1583259823.0,17,azure
6606,1583260723.0,14,azure
6607,1583261623.0,18,azure
6608,1583262523.0,16,azure
6609,1583263423.0,12,azure
6610,1583264323.0,14,azure
6611,1583265223.0,26,azure
6612,1583266123.0,16,azure
6613,1583267023.0,8,azure
6614,1583267923.0,9,azure
6615,1583268823.0,10,azure
6616,1583269723.0,7,azure
6617,1583270623.0,4,azure
6618,1583271523.0,6,azure
6619,1583272423.0,17,azure
6620,1583273323.0,36,azure
6621,1583274223.0,5,azure
6622,1583275123.0,3,azure
6623,1583276023.0,2,azure
6624,1583276923.0,5,azure
6625,1583277823.0,2,azure
6626,1583278723.0,5,azure
6627,1583279623.0,3,azure
6628,1583280523.0,3,azure
6629,1583281423.0,2,azure
6630,1583282323.0,1,azure
6631,1583283223.0,2,azure
6632,1583284123.0,0,azure
6633,1583285023.0,3,azure
6634,1583285923.0,3,azure
6635,1583286823.0,4,azure
6636,1583287723.0,2,azure
6637,1583288623.0,0,azure
6638,1583289523.0,0,azure
6639,1583290423.0,0,azure
6640,1583291323.0,1,azure
6641,1583292223.0,0,azure
6642,1583293123.0,0,azure
6643,1584333790.0,1,aws
6644,1584334690.0,0,aws
6645,1584335590.0,0,aws
6646,1584336490.0,1,aws
6647,1584337390.0,1,aws
6648,1584338290.0,0,aws
6649,1584339190.0,1,aws
6650,1584340090.0,1,aws
6651,1584340990.0,0,aws
6652,1584341890.0,0,aws
6653,1584342790.0,1,aws
6654,1584343690.0,0,aws
6655,1584344590.0,0,aws
6656,1584345490.0,0,aws
6657,1584346390.0,0,aws
6658,1584347290.0,0,aws
6659,1584348190.0,0,aws
6660,1584349090.0,0,aws
6661,1584349990.0,0,aws
6662,1584350890.0,0,aws
6663,1584351790.0,0,aws
6664,1584352690.0,0,aws
6665,1584353590.0,0,aws
6666,1584354490.0,1,aws
6667,1584355390.0,1,aws
6668,1584356290.0,0,aws
6669,1584357190.0,0,aws
6670,1584358090.0,1,aws
6671,1584358990.0,0,aws
6672,1584359890.0,0,aws
6673,1584360790.0,0,aws
6674,1584361690.0,1,aws
6675,1584362590.0,2,aws
6676,1584363490.0,0,aws
6677,1584364390.0,0,aws
6678,1584365290.0,2,aws
6679,1584366190.0,6,aws
6680,1584367090.0,2,aws
6681,1584367990.0,3,aws
6682,1584368890.0,1,aws
6683,1584369790.0,4,aws
6684,1584370690.0,3,aws
